Num_mut,FR,Name
16,0.8580094647677365,Pembrolizumab
9,0.3147520344516775,Vedolizumab
14,0.5872093099375107,Benralizumab
9,0.7860908844773032,Ravulizumab
1,0.5410916537369915,Burosumab
6,0.6745376260004546,Ixekizumab
7,0.4913663281219464,Galcanezumab
10,0.6171675612965518,Risankizumab
7,0.8059475604827392,Palivizumab
0,1.0,Ramucirumab
11,0.2570500538523739,Pertuzumab
1,1.4452937335640137,Denosumab
2,1.2233204019208381,Daratumumab
4,0.8245984148131672,Avelumab
3,1.2256157346259302,Dupilumab
6,0.3158732635328497,Emicizumab
3,0.6965566208186448,Lanadelumab
7,0.4928155186725972,Atezolizumab
2,1.1876547272403983,Ipilimumab
3,1.0964956156778654,Erenumab
3,0.9968298508275718,Canakinumab
1,0.1246347197871008,Nivolumab
11,0.5303295946796509,Certolizumab pegol
9,0.7286337007246376,Omalizumab
8,0.6502813530373087,Trastuzumab
9,0.8996909611537368,Eptinezumab
4,0.9581559341788116,Secukinumab
0,1.0,Durvalumab
6,0.7603079388888888,Fremanezumab
5,0.6555062411130435,Efalizumab
12,0.6757182438422308,Elotuzumab
4,1.0552245614525138,Adalimumab
2,0.838053498918919,Ofatumumab
3,0.9485747631868132,Sarilumab
7,0.9502630657667791,Tocilizumab
4,1.058187375792142,Necitumumab
7,0.8231729645296989,Alemtuzumab
0,1.0,Guselkumab
7,1.0497464892239543,Ustekinumab
